,audio_clipping,audio_clipping:confidence,background_noise_audible,background_noise_audible:confidence,overall_quality_of_the_audio,quiet_speaker,quiet_speaker:confidence,speaker_id,file_download,file_name,phrase,writer_id,prompt
0,no_clipping,1.0,light_noise,1.0,3.33,audible_speaker,1.0,43453425,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43453425_58166571.wav&key=test_key_TISTK,1249120_43453425_58166571.wav,When I remember her I feel down,21665495,Emotional pain
1,light_clipping,0.6803,no_noise,0.6803,3.33,audible_speaker,1.0,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_43347848.wav&key=test_key_TISTK,1249120_43719934_43347848.wav,When I carry heavy things I feel like breaking my back,44088126,Back pain
2,no_clipping,1.0,no_noise,0.6655,3.33,audible_speaker,1.0,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_53187202.wav&key=test_key_TISTK,1249120_43719934_53187202.wav,there is too much pain when i move my arm,44292353,Joint pain
3,no_clipping,1.0,light_noise,1.0,3.33,audible_speaker,1.0,31349958,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_31349958_55816195.wav&key=test_key_TISTK,1249120_31349958_55816195.wav,My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.,43755034,Infected wound
4,no_clipping,1.0,no_noise,1.0,4.67,audible_speaker,1.0,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_82524191.wav&key=test_key_TISTK,1249120_43719934_82524191.wav,My muscles in my lower back are aching,21665495,Back pain
5,no_clipping,1.0,no_noise,1.0,3.0,audible_speaker,1.0,40663048,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40663048_51348478.wav&key=test_key_TISTK,1249120_40663048_51348478.wav,"i have muscle pain that my back
I Have Muscle Pain at my back leg",44130352,Foot ache
6,no_clipping,1.0,no_noise,1.0,3.67,audible_speaker,1.0,40663048,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40663048_42741720.wav&key=test_key_TISTK,1249120_40663048_42741720.wav,I have muscle pain in my left leg,43913997,Shoulder pain
7,no_clipping,1.0,no_noise,1.0,4.25,audible_speaker,1.0,15004831,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_15004831_21919890.wav&key=test_key_TISTK,1249120_15004831_21919890.wav,I have cut my finger because of playing football and I have to apply pain relief cream but it does not help,43318517,Injury from sports
8,no_clipping,0.6978,no_noise,1.0,3.67,audible_speaker,1.0,14353703,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_14353703_93481996.wav&key=test_key_TISTK,1249120_14353703_93481996.wav,I have acne in my face and other problems in my derma like itching,44066678,Skin issue
9,no_clipping,1.0,no_noise,0.6879,3.33,audible_speaker,1.0,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_85316490.wav&key=test_key_TISTK,1249120_43719934_85316490.wav,I have a strange rash on my arm,44130352,Skin issue
